pe01_id_pe,pe02_typ_pe,pe03_id_wezla,pe04_pdu,pe05_terc,pe06_simc,pe07_ulic,pe08_nr_porzadkowy,pe09_szerokosc,pe10_dlugosc,pe11_medium_transmisyjne,pe12_technologia_dostepowa,pe13_mozliwosc_swiadczenia_uslug,pe14_finansowanie_publ,pe15_numery_projektow_publ
"P0001","04","WW_W0001","Tak","2261011","0933016","23830","18","54.4261","18.4802","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0002","04","WW_W0002","Tak","2204032","0163989","04801","15","54.3167","18.5512","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0003","04","WW_W0003","Tak","2261011","0933016","26191","9c","54.3740","18.5237","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0004","04","WW_W0004","Tak","2261011","0933016","29213","13","54.4222","18.4689","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0005","04","WW_W0005","Tak","2261011","0933016","08137","119","54.4251","18.4797","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0006","04","WW_W0006","Tak","2215092","0175120","03509","3","54.4646","18.3729","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0007","04","WW_W0007","Tak","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0008","04","WW_W0008","Tak","2261011","0933016","01050","85","54.4263","18.4824","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0009","04","WW_W0009","Tak","2215092","0175188","08179","2","54.4490","18.3874","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0010","04","WW_W0010","Tak","2215092","0175290","19908","58","54.4608","18.3075","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0011","04","WW_W0011","Tak","2215092","0175290","02462","5","54.4572","18.3357","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0012","04","WW_W0012","Tak","2215092","0175478","23884","5","54.4401","18.3207","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0013","04","WW_W0013","Tak","2261011","0933016","09024","4","54.4311","18.4767","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0014","04","WW_W0014","Tak","2215092","0175461","28683","6","54.4283","18.3444","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0015","04","WW_W0015","Tak","2205085","0991380","06029","25","54.3132","18.3592","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
