lb01_id_lb,lb02_id_punktu_poczatkowego,lb03_id_punktu_koncowego,lb04_medium_transmisyjne,lb05_nr_pozwolenia_radiowego,lb06_pasmo_radiowe,lb07_system_transmisyjny,lb08_przepustowosc,lb09_mozliwosc_udostepniania
"LB0001","WW_W0001","WW_W0004","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","20","Nie"
"LB0002","WW_W0001","WW_W0005","radiowe na częstotliwości ogólnodostępnej","","5.61","WiFi","21","Nie"
"LB0003","WW_W0001","WW_W0006","radiowe na częstotliwości ogólnodostępnej","","5.17","WiFi","13","Nie"
"LB0004","WW_W0001","WW_W0007","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","21","Nie"
"LB0005","WW_W0001","WW_W0008","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","18","Nie"
"LB0006","WW_W0001","WW_W0012","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","13","Nie"
"LB0007","WW_W0001","WW_W0015","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","18","Nie"
"LB0008","WW_W0001","WW_W0016","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","18","Nie"
"LB0009","WW_W0001","WW_W0117","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","11","Nie"
"LB0010","WW_W0003","WW_W0019","radiowe na częstotliwości ogólnodostępnej","","5.49","WiFi","17","Nie"
"LB0011","WW_W0003","WW_W0061","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","13","Nie"
"LB0012","WW_W0003","WW_W0064","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","12","Nie"
"LB0013","WW_W0005","WW_W0013","radiowe na częstotliwości ogólnodostępnej","","5.69","WiFi","17","Nie"
"LB0014","WW_W0005","WW_W0015","radiowe na częstotliwości ogólnodostępnej","","5.33","WiFi","19","Nie"
"LB0015","WW_W0005","WW_W0051","radiowe na częstotliwości ogólnodostępnej","","5.65","WiFi","14","Nie"
"LB0016","WW_W0005","WW_W0111","radiowe na częstotliwości ogólnodostępnej","","5.53","WiFi","11","Nie"
