ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
PAW2_1,PE_1_W2,AIRNETSPZOO,2204032,0163989,04801,15,54.3167,18.5512,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W2_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW2_2,PE_1_W2,AIRNETSPZOO,2204032,0163989,04801,15,54.3167,18.5512,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W2_2,Nie,Tak,Nie,Nie,Nie,02,1
PAW3_1,PE_1_W3,AIRNETSPZOO,2261011,0933016,26191,9c,54.3740,18.5237,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W3_1,Nie,Tak,Nie,Nie,Nie,13,1
PAW4_1,PE_1_W4,AIRNETSPZOO,2261011,0933016,29213,13,54.4222,18.4689,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W4_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW5_1,PE_1_W5,AIRNETSPZOO,2261011,0933016,08137,119,54.4251,18.4797,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W5_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW5_2,PE_1_W5,AIRNETSPZOO,2261011,0933016,08137,119,54.4251,18.4797,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W5_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW7_1,PE_1_W7,AIRNETSPZOO,2215092,0175461,20254,6,54.4247,18.3387,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W7_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW7_2,PE_1_W7,AIRNETSPZOO,2215092,0175461,20254,6,54.4247,18.3387,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W7_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW8_1,PE_1_W8,AIRNETSPZOO,2261011,0933016,01050,85,54.4263,18.4824,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W8_1,Nie,Tak,Nie,Nie,Nie,13,1
PAW9_1,PE_1_W9,AIRNETSPZOO,2215092,0175188,08179,2,54.4490,18.3874,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W9_1,Nie,Tak,Nie,Nie,Nie,02,3
PAW9_2,PE_1_W9,AIRNETSPZOO,2215092,0175188,08179,2,54.4490,18.3874,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W9_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW10_1,PE_1_W10,AIRNETSPZOO,2215092,0175290,19908,58,54.4608,18.3075,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W10_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW10_2,PE_1_W10,AIRNETSPZOO,2215092,0175290,19908,58,54.4608,18.3075,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W10_2,Nie,Tak,Nie,Nie,Nie,04,1
PAW11_1,PE_1_W11,AIRNETSPZOO,2215092,0175290,02462,5,54.4572,18.3357,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W11_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW11_2,PE_1_W11,AIRNETSPZOO,2215092,0175290,02462,5,54.4572,18.3357,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W11_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW12_1,PE_1_W12,AIRNETSPZOO,2215092,0175478,23884,5,54.4401,18.3207,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W12_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW12_2,PE_1_W12,AIRNETSPZOO,2215092,0175478,23884,5,54.4401,18.3207,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W12_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW14_1,PE_1_W14,AIRNETSPZOO,2215092,0175461,28683,6,54.4283,18.3444,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W14_1,Nie,Tak,Nie,Nie,Nie,03,3
PAW15_1,PE_1_W15,AIRNETSPZOO,2205085,0991380,06029,25,54.3132,18.3592,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W15_1,Nie,Tak,Nie,Nie,Nie,04,2
PAW15_2,PE_1_W15,AIRNETSPZOO,2205085,0991380,06029,25,54.3132,18.3592,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W15_2,Nie,Tak,Nie,Nie,Nie,03,5
PAW15_3,PE_1_W15,AIRNETSPZOO,2205085,0991380,06029,25,54.3132,18.3592,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W15_3,Nie,Tak,Nie,Nie,Nie,02,3
PAW16_1,PE_1_W16,AIRNETSPZOO,2261011,0933016,08323,28,54.4144,18.4684,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W16_1,Nie,Tak,Nie,Nie,Nie,04,4
PAW16_2,PE_1_W16,AIRNETSPZOO,2261011,0933016,08323,28,54.4144,18.4684,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W16_2,Nie,Tak,Nie,Nie,Nie,03,2
PAW16_3,PE_1_W16,AIRNETSPZOO,2261011,0933016,08323,28,54.4144,18.4684,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W16_3,Nie,Tak,Nie,Nie,Nie,05,1
PAW17_1,PE_1_W17,AIRNETSPZOO,2205085,0177402,20254,28,54.3160,18.3802,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W17_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW18_1,PE_1_W18,AIRNETSPZOO,2205085,0177402,15300,2,54.3084,18.3926,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W18_1,Nie,Tak,Nie,Nie,Nie,05,3
PAW18_2,PE_1_W18,AIRNETSPZOO,2205085,0177402,15300,2,54.3084,18.3926,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W18_2,Nie,Tak,Nie,Nie,Nie,03,1
PAW18_3,PE_1_W18,AIRNETSPZOO,2205085,0177402,15300,2,54.3084,18.3926,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W18_3,Nie,Tak,Nie,Nie,Nie,06,1
PAW19_1,PE_1_W19,AIRNETSPZOO,2205085,0177402,15300,4,54.3082,18.3938,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W19_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW19_2,PE_1_W19,AIRNETSPZOO,2205085,0177402,15300,4,54.3082,18.3938,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W19_2,Nie,Tak,Nie,Nie,Nie,04,1
