pe01_id_pe,pe02_typ_pe,pe03_id_wezla,pe04_pdu,pe05_terc,pe06_simc,pe07_ulic,pe08_nr_porzadkowy,pe09_szerokosc,pe10_dlugosc,pe11_medium_transmisyjne,pe12_technologia_dostepowa,pe13_mozliwosc_swiadczenia_uslug,pe14_finansowanie_publ,pe15_numery_projektow_publ
PE_1_W1,04,W1,Tak,2261011,0933016,23830,18,54.4261,18.4802,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W2,04,W2,Tak,2204032,0163989,04801,15,54.3167,18.5512,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W3,04,W3,Tak,2261011,0933016,26191,9c,54.3740,18.5237,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W4,04,W4,Tak,2261011,0933016,29213,13,54.4222,18.4689,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W5,04,W5,Tak,2261011,0933016,08137,119,54.4251,18.4797,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W6,04,W6,Tak,2215092,0175120,03509,3,54.4646,18.3729,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W7,04,W7,Tak,2215092,0175461,20254,6,54.4247,18.3387,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W8,04,W8,Tak,2261011,0933016,01050,85,54.4263,18.4824,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W9,04,W9,Tak,2215092,0175188,08179,2,54.4490,18.3874,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W10,04,W10,Tak,2215092,0175290,19908,58,54.4608,18.3075,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W11,04,W11,Tak,2215092,0175290,02462,5,54.4572,18.3357,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W12,04,W12,Tak,2215092,0175478,23884,5,54.4401,18.3207,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W13,04,W13,Tak,2261011,0933016,09024,4,54.4311,18.4767,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W14,04,W14,Tak,2215092,0175461,28683,6,54.4283,18.3444,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W15,04,W15,Tak,2205085,0991380,06029,25,54.3132,18.3592,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W16,04,W16,Tak,2261011,0933016,08323,28,54.4144,18.4684,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W17,04,W17,Tak,2205085,0177402,20254,28,54.3160,18.3802,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W18,04,W18,Tak,2205085,0177402,15300,2,54.3084,18.3926,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W19,04,W19,Tak,2205085,0177402,15300,4,54.3082,18.3938,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W20,04,W20,Tak,2205084,0935127,,32,54.3451,18.3570,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W21,04,W21,Tak,2215092,0175343,10898,2,54.4466,18.3013,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W22,04,W22,Tak,2205052,0172480,,28,54.2089,18.1734,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W23,04,W23,Tak,2205052,0172416,08124,1,54.2396,18.2028,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W24,04,W24,Tak,2205025,0162978,56792,23,54.2674,18.0825,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W25,04,W25,Tak,2205042,0171434,,33B,54.3156,17.9382,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W26,04,W26,Tak,2205062,0173806,19335,5,54.2474,17.8965,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W27,04,W27,Tak,2206042,0164612,20641,8,54.1217,18.0328,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W28,04,W28,Tak,2205072,0174817,,60,54.3094,17.8164,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W29,04,W29,Tak,2205072,0174852,00209,45,54.2393,17.7782,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
