ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
PAW2_1,PE_1_W2,AIRNETSPZOO,2204032,0163989,04801,15,54.3167,18.5512,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W2_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW3_1,PE_1_W3,AIRNETSPZOO,2261011,0933016,26191,9c,54.3740,18.5237,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W3_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW4_1,PE_1_W4,AIRNETSPZOO,2261011,0933016,29213,13,54.4222,18.4689,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W4_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW6_1,PE_1_W6,AIRNETSPZOO,2215092,0175120,03509,3,54.4646,18.3729,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W6_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW7_1,PE_1_W7,AIRNETSPZOO,2215092,0175461,20254,6,54.4247,18.3387,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W7_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW9_1,PE_1_W9,AIRNETSPZOO,2215092,0175188,08179,2,54.4490,18.3874,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W9_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW9_2,PE_1_W9,AIRNETSPZOO,2215092,0175188,08179,2,54.4490,18.3874,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W9_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW10_1,PE_1_W10,AIRNETSPZOO,2215092,0175290,19908,58,54.4608,18.3075,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W10_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW10_2,PE_1_W10,AIRNETSPZOO,2215092,0175290,19908,58,54.4608,18.3075,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W10_2,Nie,Tak,Nie,Nie,Nie,02,1
PAW13_1,PE_1_W13,AIRNETSPZOO,2261011,0933016,09024,4,54.4311,18.4767,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W13_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW14_1,PE_1_W14,AIRNETSPZOO,2215092,0175461,28683,6,54.4283,18.3444,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W14_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW15_1,PE_1_W15,AIRNETSPZOO,2205085,0991380,06029,25,54.3132,18.3592,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W15_1,Nie,Tak,Nie,Nie,Nie,03,7
PAW15_2,PE_1_W15,AIRNETSPZOO,2205085,0991380,06029,25,54.3132,18.3592,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W15_2,Nie,Tak,Nie,Nie,Nie,02,2
PAW16_1,PE_1_W16,AIRNETSPZOO,2261011,0933016,08323,28,54.4144,18.4684,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W16_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW16_2,PE_1_W16,AIRNETSPZOO,2261011,0933016,08323,28,54.4144,18.4684,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W16_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW17_1,PE_1_W17,AIRNETSPZOO,2205085,0177402,20254,28,54.3160,18.3802,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W17_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW17_2,PE_1_W17,AIRNETSPZOO,2205085,0177402,20254,28,54.3160,18.3802,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W17_2,Nie,Tak,Nie,Nie,Nie,03,1
PAW18_1,PE_1_W18,AIRNETSPZOO,2205085,0177402,15300,2,54.3084,18.3926,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W18_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW18_2,PE_1_W18,AIRNETSPZOO,2205085,0177402,15300,2,54.3084,18.3926,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W18_2,Nie,Tak,Nie,Nie,Nie,03,1
PAW19_1,PE_1_W19,AIRNETSPZOO,2205085,0177402,15300,4,54.3082,18.3938,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W19_1,Nie,Tak,Nie,Nie,Nie,02,2
PAW19_2,PE_1_W19,AIRNETSPZOO,2205085,0177402,15300,4,54.3082,18.3938,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W19_2,Nie,Tak,Nie,Nie,Nie,03,1
PAW20_1,PE_1_W20,AIRNETSPZOO,2205084,0935127,,32,54.3451,18.3570,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W20_1,Nie,Tak,Nie,Nie,Nie,03,4
PAW22_1,PE_1_W22,AIRNETSPZOO,2205052,0172480,,28,54.2089,18.1734,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W22_1,Nie,Tak,Nie,Nie,Nie,04,1
PAW22_2,PE_1_W22,AIRNETSPZOO,2205052,0172480,,28,54.2089,18.1734,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W22_2,Nie,Tak,Nie,Nie,Nie,03,2
PAW22_3,PE_1_W22,AIRNETSPZOO,2205052,0172480,,28,54.2089,18.1734,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W22_3,Nie,Tak,Nie,Nie,Nie,02,1
PAW23_1,PE_1_W23,AIRNETSPZOO,2205052,0172416,08124,1,54.2396,18.2028,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W23_1,Nie,Tak,Nie,Nie,Nie,02,3
PAW23_2,PE_1_W23,AIRNETSPZOO,2205052,0172416,08124,1,54.2396,18.2028,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W23_2,Nie,Tak,Nie,Nie,Nie,01,1
PAW23_3,PE_1_W23,AIRNETSPZOO,2205052,0172416,08124,1,54.2396,18.2028,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W23_3,Nie,Tak,Nie,Nie,Nie,04,1
PAW25_1,PE_1_W25,AIRNETSPZOO,2205042,0171434,,33B,54.3156,17.9382,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W25_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW26_1,PE_1_W26,AIRNETSPZOO,2205062,0173806,19335,5,54.2474,17.8965,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W26_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW28_1,PE_1_W28,AIRNETSPZOO,2205072,0174817,,60,54.3094,17.8164,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W28_1,Nie,Tak,Nie,Nie,Nie,02,1
PAW29_1,PE_1_W29,AIRNETSPZOO,2205072,0174852,00209,45,54.2393,17.7782,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W29_1,Nie,Tak,Nie,Nie,Nie,02,1
