we01_id_wezla,we02_tytul_do_wezla,we03_id_podmiotu_obcego,we04_terc,we05_simc,we06_ulic,we07_nr_porzadkowy,we08_szerokosc,we09_dlugosc,we10_medium_transmisyjne,we11_bsa,we12_technologia_dostepowa,we13_uslugi_transmisji_danych,we14_mozliwosc_zwiekszenia_liczby_interfejsow,we15_finansowanie_publ,we16_numery_projektow_publ,we17_infrastruktura_o_duzym_znaczeniu,we18_typ_interfejsu,we19_udostepnianie_ethernet
W1,Węzeł własny,,2261011,0933016,23830,18,54.4261,18.4802,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W2,Węzeł własny,,2204032,0163989,04801,15,54.3167,18.5512,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W3,Węzeł własny,,2261011,0933016,26191,9c,54.3740,18.5237,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W4,Węzeł własny,,2261011,0933016,29213,13,54.4222,18.4689,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W5,Węzeł własny,,2261011,0933016,08137,119,54.4251,18.4797,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W6,Węzeł własny,,2215092,0175120,03509,3,54.4646,18.3729,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W7,Węzeł własny,,2215092,0175461,20254,6,54.4247,18.3387,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W8,Węzeł własny,,2261011,0933016,01050,85,54.4263,18.4824,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W9,Węzeł własny,,2215092,0175188,08179,2,54.4490,18.3874,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W10,Węzeł własny,,2215092,0175290,19908,58,54.4608,18.3075,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W11,Węzeł własny,,2215092,0175290,02462,5,54.4572,18.3357,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W12,Węzeł własny,,2215092,0175478,23884,5,54.4401,18.3207,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W13,Węzeł własny,,2261011,0933016,09024,4,54.4311,18.4767,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W14,Węzeł własny,,2215092,0175461,28683,6,54.4283,18.3444,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W15,Węzeł własny,,2205085,0991380,06029,25,54.3132,18.3592,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W16,Węzeł własny,,2261011,0933016,08323,28,54.4144,18.4684,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W17,Węzeł własny,,2205085,0177402,20254,28,54.3160,18.3802,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W18,Węzeł własny,,2205085,0177402,15300,2,54.3084,18.3926,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W19,Węzeł własny,,2205085,0177402,15300,4,54.3082,18.3938,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W20,Węzeł własny,,2205084,0935127,,32,54.3451,18.3570,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W21,Węzeł własny,,2215092,0175343,10898,2,54.4466,18.3013,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W22,Węzeł własny,,2205052,0172480,,28,54.2089,18.1734,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W23,Węzeł własny,,2205052,0172416,08124,1,54.2396,18.2028,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W24,Węzeł własny,,2205025,0162978,56792,23,54.2674,18.0825,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
