ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
PAW3_1,PE_1_W3,AIRNETSPZOO,2261011,0933016,26191,9c,54.3740,18.5237,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W3_1,Nie,Tak,Nie,Nie,Nie,04,1
PAW3_2,PE_1_W3,AIRNETSPZOO,2261011,0933016,26191,9c,54.3740,18.5237,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W3_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW7_1,PE_1_W7,AIRNETSPZOO,2215092,0175461,20254,6,54.4247,18.3387,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W7_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW7_2,PE_1_W7,AIRNETSPZOO,2215092,0175461,20254,6,54.4247,18.3387,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W7_2,Nie,Tak,Nie,Nie,Nie,03,2
PAW7_3,PE_1_W7,AIRNETSPZOO,2215092,0175461,20254,6,54.4247,18.3387,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W7_3,Nie,Tak,Nie,Nie,Nie,04,1
PAW7_4,PE_1_W7,AIRNETSPZOO,2215092,0175461,20254,6,54.4247,18.3387,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W7_4,Nie,Tak,Tak,Nie,Nie,02,1
PAW11_1,PE_1_W11,AIRNETSPZOO,2215092,0175290,02462,5,54.4572,18.3357,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W11_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW13_1,PE_1_W13,AIRNETSPZOO,2261011,0933016,09024,4,54.4311,18.4767,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W13_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW14_1,PE_1_W14,AIRNETSPZOO,2215092,0175461,28683,6,54.4283,18.3444,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W14_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW14_2,PE_1_W14,AIRNETSPZOO,2215092,0175461,28683,6,54.4283,18.3444,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W14_2,Nie,Tak,Nie,Nie,Nie,03,2
PAW15_1,PE_1_W15,AIRNETSPZOO,2205085,0991380,06029,25,54.3132,18.3592,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W15_1,Nie,Tak,Nie,Nie,Nie,03,5
PAW15_2,PE_1_W15,AIRNETSPZOO,2205085,0991380,06029,25,54.3132,18.3592,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W15_2,Nie,Tak,Nie,Nie,Nie,05,2
PAW16_1,PE_1_W16,AIRNETSPZOO,2261011,0933016,08323,28,54.4144,18.4684,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W16_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW17_1,PE_1_W17,AIRNETSPZOO,2205085,0177402,20254,28,54.3160,18.3802,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W17_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW18_1,PE_1_W18,AIRNETSPZOO,2205085,0177402,15300,2,54.3084,18.3926,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W18_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW20_1,PE_1_W20,AIRNETSPZOO,2205084,0935127,,32,54.3451,18.3570,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W20_1,Nie,Tak,Nie,Nie,Nie,03,3
PAW20_2,PE_1_W20,AIRNETSPZOO,2205084,0935127,,32,54.3451,18.3570,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W20_2,Nie,Tak,Nie,Nie,Nie,02,1
PAW21_1,PE_1_W21,AIRNETSPZOO,2215092,0175343,10898,2,54.4466,18.3013,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W21_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW23_1,PE_1_W23,AIRNETSPZOO,2205052,0172416,08124,1,54.2396,18.2028,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W23_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW23_2,PE_1_W23,AIRNETSPZOO,2205052,0172416,08124,1,54.2396,18.2028,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W23_2,Nie,Tak,Nie,Nie,Nie,03,1
PAW26_1,PE_1_W26,AIRNETSPZOO,2205062,0173806,19335,5,54.2474,17.8965,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W26_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW27_1,PE_1_W27,AIRNETSPZOO,2206042,0164612,20641,8,54.1217,18.0328,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W27_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW31_1,PE_1_W31,AIRNETSPZOO,2205052,0172675,17011,5,54.2703,18.2084,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W31_1,Nie,Tak,Nie,Nie,Nie,03,3
PAW32_1,PE_1_W32,AIRNETSPZOO,2205052,0172675,17011,7C,54.2737,18.2125,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W32_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW35_1,PE_1_W35,AIRNETSPZOO,2205025,0163104,25331,39,54.3195,18.2587,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W35_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW37_1,PE_1_W37,AIRNETSPZOO,2204052,0170140,22003,20,54.2040,18.2776,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W37_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW38_1,PE_1_W38,AIRNETSPZOO,2204052,0170067,24870,9,54.2178,18.2551,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W38_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW44_1,PE_1_W44,AIRNETSPZOO,2261011,0933016,12618,1,54.4121,18.4458,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W44_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW49_1,PE_1_W49,AIRNETSPZOO,2205085,0177230,,3A,54.3626,18.4329,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W49_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW49_2,PE_1_W49,AIRNETSPZOO,2205085,0177230,,3A,54.3626,18.4329,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W49_2,Nie,Tak,Nie,Nie,Nie,07,1
PAW50_1,PE_1_W50,AIRNETSPZOO,2205085,0177247,13706,26,54.3544,18.4245,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W50_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW51_1,PE_1_W51,AIRNETSPZOO,2205085,0177276,20254,21,54.3610,18.3680,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W51_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW51_2,PE_1_W51,AIRNETSPZOO,2205085,0177276,20254,21,54.3610,18.3680,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W51_2,Nie,Tak,Nie,Nie,Nie,06,1
PAW53_1,PE_1_W53,AIRNETSPZOO,2205085,0177276,15590,3A,54.3698,18.3553,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W53_1,Nie,Tak,Nie,Nie,Nie,03,3
PAW53_2,PE_1_W53,AIRNETSPZOO,2205085,0177276,15590,3A,54.3698,18.3553,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W53_2,Nie,Tak,Nie,Nie,Nie,05,1
PAW54_1,PE_1_W54,AIRNETSPZOO,2205085,0177371,05431,75F,54.3740,18.3821,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W54_1,Nie,Tak,Nie,Nie,Nie,05,3
PAW54_2,PE_1_W54,AIRNETSPZOO,2205085,0177371,05431,75F,54.3740,18.3821,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W54_2,Nie,Tak,Nie,Nie,Nie,03,3
PAW54_3,PE_1_W54,AIRNETSPZOO,2205085,0177371,05431,75F,54.3740,18.3821,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W54_3,Nie,Tak,Nie,Nie,Nie,07,1
PAW55_1,PE_1_W55,AIRNETSPZOO,2205085,0177388,,193,54.2849,18.3293,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W55_1,Nie,Tak,Nie,Nie,Nie,03,2
PAW56_1,PE_1_W56,AIRNETSPZOO,2205085,0177454,20254,43,54.2916,18.3567,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W56_1,Nie,Tak,Nie,Nie,Nie,04,1
PAW56_2,PE_1_W56,AIRNETSPZOO,2205085,0177454,20254,43,54.2916,18.3567,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W56_2,Nie,Tak,Nie,Nie,Nie,03,2
PAW61_1,PE_1_W61,AIRNETSPZOO,2261011,0933016,11110,16,54.3451,18.5073,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W61_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW62_1,PE_1_W62,AIRNETSPZOO,2261011,0933016,07804,27,54.3534,18.5126,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W62_1,Nie,Tak,Nie,Nie,Nie,03,1
PAW64_1,PE_1_W64,AIRNETSPZOO,2261011,0933016,39822,16,54.3486,18.4718,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W64_1,Nie,Tak,Nie,Nie,Nie,04,1
PAW66_1,PE_1_W66,AIRNETSPZOO,2205085,0177164,,23,54.3313,18.3423,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W66_1,Nie,Tak,Nie,Nie,Nie,05,1
PAW67_1,PE_1_W67,AIRNETSPZOO,2205085,0177276,26081,39,54.3693,18.3265,radiowe,WiFi - 802.11ac w paśmie 5GHz,,,,SPE_1_W67_1,Nie,Tak,Nie,Nie,Nie,03,1
