ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
"AD0001","P0002","","2204032","0163989","04801","15","54.3167","18.5512","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W2_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0002","P0002","","2204032","0163989","04801","15","54.3167","18.5512","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W2_2","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0003","P0003","","2261011","0933016","26191","9c","54.3740","18.5237","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W3_1","Nie","Tak","Nie","Nie","Nie","13","1"
"AD0004","P0004","","2261011","0933016","29213","13","54.4222","18.4689","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W4_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0005","P0005","","2261011","0933016","08137","119","54.4251","18.4797","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W5_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0006","P0005","","2261011","0933016","08137","119","54.4251","18.4797","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W5_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0007","P0007","","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W7_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0008","P0007","","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W7_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0009","P0008","","2261011","0933016","01050","85","54.4263","18.4824","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W8_1","Nie","Tak","Nie","Nie","Nie","13","1"
"AD0010","P0009","","2215092","0175188","08179","2","54.4490","18.3874","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W9_1","Nie","Tak","Nie","Nie","Nie","02","3"
"AD0011","P0009","","2215092","0175188","08179","2","54.4490","18.3874","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W9_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0012","P0010","","2215092","0175290","19908","58","54.4608","18.3075","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W10_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0013","P0010","","2215092","0175290","19908","58","54.4608","18.3075","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W10_2","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0014","P0011","","2215092","0175290","02462","5","54.4572","18.3357","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W11_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0015","P0011","","2215092","0175290","02462","5","54.4572","18.3357","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W11_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0016","P0012","","2215092","0175478","23884","5","54.4401","18.3207","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W12_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0017","P0012","","2215092","0175478","23884","5","54.4401","18.3207","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W12_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0018","P0014","","2215092","0175461","28683","6","54.4283","18.3444","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W14_1","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0019","P0015","","2205085","0991380","06029","25","54.3132","18.3592","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W15_1","Nie","Tak","Nie","Nie","Nie","04","2"
"AD0020","P0015","","2205085","0991380","06029","25","54.3132","18.3592","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W15_2","Nie","Tak","Nie","Nie","Nie","03","5"
"AD0021","P0015","","2205085","0991380","06029","25","54.3132","18.3592","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W15_3","Nie","Tak","Nie","Nie","Nie","02","3"
"AD0022","P0016","","2261011","0933016","08323","28","54.4144","18.4684","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W16_1","Nie","Tak","Nie","Nie","Nie","04","4"
"AD0023","P0016","","2261011","0933016","08323","28","54.4144","18.4684","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W16_2","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0024","P0016","","2261011","0933016","08323","28","54.4144","18.4684","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W16_3","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0025","P0017","","2205085","0177402","20254","28","54.3160","18.3802","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W17_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0026","P0018","","2205085","0177402","15300","2","54.3084","18.3926","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W18_1","Nie","Tak","Nie","Nie","Nie","05","3"
"AD0027","P0018","","2205085","0177402","15300","2","54.3084","18.3926","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W18_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0028","P0018","","2205085","0177402","15300","2","54.3084","18.3926","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W18_3","Nie","Tak","Nie","Nie","Nie","06","1"
"AD0029","P0019","","2205085","0177402","15300","4","54.3082","18.3938","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W19_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0030","P0019","","2205085","0177402","15300","4","54.3082","18.3938","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W19_2","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0031","P0019","","2205085","0177402","15300","4","54.3082","18.3938","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W19_3","Nie","Tak","Nie","Nie","Nie","07","1"
"AD0032","P0019","","2205085","0177402","15300","4","54.3082","18.3938","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W19_4","Nie","Tak","Tak","Nie","Nie","02","1"
"AD0033","P0020","","2205084","0935127","","32","54.3451","18.3570","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W20_1","Nie","Tak","Nie","Nie","Nie","03","6"
"AD0034","P0020","","2205084","0935127","","32","54.3451","18.3570","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W20_2","Nie","Tak","Nie","Nie","Nie","05","4"
"AD0035","P0020","","2205084","0935127","","32","54.3451","18.3570","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W20_3","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0036","P0021","","2215092","0175343","10898","2","54.4466","18.3013","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W21_1","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0037","P0021","","2215092","0175343","10898","2","54.4466","18.3013","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W21_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0038","P0022","","2205052","0172480","","28","54.2089","18.1734","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W22_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0039","P0023","","2205052","0172416","08124","1","54.2396","18.2028","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W23_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0040","P0023","","2205052","0172416","08124","1","54.2396","18.2028","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W23_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0041","P0023","","2205052","0172416","08124","1","54.2396","18.2028","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W23_3","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0042","P0024","","2205025","0162978","56792","23","54.2674","18.0825","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W24_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0043","P0025","","2205042","0171434","","33B","54.3156","17.9382","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W25_1","Nie","Tak","Nie","Nie","Nie","02","5"
"AD0044","P0025","","2205042","0171434","","33B","54.3156","17.9382","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W25_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0045","P0025","","2205042","0171434","","33B","54.3156","17.9382","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W25_3","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0046","P0025","","2205042","0171434","","33B","54.3156","17.9382","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W25_4","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0047","P0029","","2205072","0174852","00209","45","54.2393","17.7782","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W29_1","Nie","Tak","Nie","Nie","Nie","13","1"
"AD0048","P0029","","2205072","0174852","00209","45","54.2393","17.7782","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W29_2","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0049","P0031","","2205052","0172675","17011","5","54.2703","18.2084","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W31_1","Nie","Tak","Nie","Nie","Nie","05","2"
"AD0050","P0032","","2205052","0172675","17011","7C","54.2737","18.2125","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W32_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0051","P0032","","2205052","0172675","17011","7C","54.2737","18.2125","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W32_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0052","P0033","","2205052","0172675","08179","2A","54.2796","18.1834","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W33_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0053","P0037","","2204052","0170140","22003","20","54.2040","18.2776","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W37_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0054","P0037","","2204052","0170140","22003","20","54.2040","18.2776","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W37_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0055","P0040","","2205052","1014441","","5","54.2594","18.2507","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W40_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0056","P0041","","2205052","1014441","","35","54.2746","18.2462","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W41_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0057","P0042","","2205052","0172385","20998","24","54.2707","18.2876","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W42_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0058","P0043","","2261011","0933016","21620","12","54.3475","18.4810","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W43_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0059","P0044","","2261011","0933016","12618","1","54.4121","18.4458","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W44_1","Nie","Tak","Nie","Nie","Nie","05","2"
"AD0060","P0044","","2261011","0933016","12618","1","54.4121","18.4458","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W44_2","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0061","P0044","","2261011","0933016","12618","1","54.4121","18.4458","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W44_3","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0062","P0045","","2261011","0933016","14535","7a","54.4175","18.4561","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W45_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0063","P0045","","2261011","0933016","14535","7a","54.4175","18.4561","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W45_2","Nie","Tak","Nie","Nie","Nie","04","2"
"AD0064","P0045","","2261011","0933016","14535","7a","54.4175","18.4561","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W45_3","Nie","Tak","Tak","Nie","Nie","02","1"
