ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
"AD0001","P0002","","2204032","0163989","04801","15","54.3167","18.5512","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W2_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0002","P0004","","2261011","0933016","29213","13","54.4222","18.4689","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W4_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0003","P0014","","2215092","0175461","28683","6","54.4283","18.3444","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W14_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0004","P0014","","2215092","0175461","28683","6","54.4283","18.3444","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W14_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0005","P0015","","2205085","0991380","06029","25","54.3132","18.3592","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W15_1","Nie","Tak","Nie","Nie","Nie","02","2"
"AD0006","P0016","","2261011","0933016","08323","28","54.4144","18.4684","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W16_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0007","P0016","","2261011","0933016","08323","28","54.4144","18.4684","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W16_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0008","P0017","","2205085","0177402","20254","28","54.3160","18.3802","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W17_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0009","P0017","","2205085","0177402","20254","28","54.3160","18.3802","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W17_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0010","P0018","","2205085","0177402","15300","2","54.3084","18.3926","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W18_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0011","P0019","","2205085","0177402","15300","4","54.3082","18.3938","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W19_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0012","P0021","","2215092","0175343","10898","2","54.4466","18.3013","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W21_1","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0013","P0021","","2215092","0175343","10898","2","54.4466","18.3013","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W21_2","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0014","P0022","","2205052","0172480","","28","54.2089","18.1734","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W22_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0015","P0028","","2205072","0174817","","60","54.3094","17.8164","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W28_1","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0016","P0029","","2205072","0174852","00209","45","54.2393","17.7782","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W29_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0017","P0035","","2205025","0163104","25331","39","54.3195","18.2587","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W35_1","Nie","Tak","Nie","Nie","Nie","03","1"
