ua01_id_punktu_adresowego,ua02_id_pe,ua03_id_po,ua04_terc,ua05_simc,ua06_ulic,ua07_nr_porzadkowy,ua08_szerokosc,ua09_dlugosc,ua10_medium_dochodzace_do_pa,ua11_technologia_dostepowa,ua12_instalacja_telekom,ua13_medium_instalacji_budynku,ua14_technologia_dostepowa,ua15_identyfikacja_uslugi,ua16_dostep_stacjonarny,ua17_dostep_stacjonarny_bezprzewodowy,ua18_telewizja_cyfrowa,ua19_radio,ua20_usluga_telefoniczna,ua21_predkosc_uslugi_td,ua22_liczba_uzytkownikow_uslugi_td
"AD0001","P0003","","2261011","0933016","26191","9c","54.3740","18.5237","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W3_1","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0002","P0003","","2261011","0933016","26191","9c","54.3740","18.5237","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W3_2","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0003","P0007","","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W7_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0004","P0007","","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W7_2","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0005","P0007","","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W7_3","Nie","Tak","Nie","Nie","Nie","04","1"
"AD0006","P0007","","2215092","0175461","20254","6","54.4247","18.3387","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W7_4","Nie","Tak","Tak","Nie","Nie","02","1"
"AD0007","P0011","","2215092","0175290","02462","5","54.4572","18.3357","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W11_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0008","P0013","","2261011","0933016","09024","4","54.4311","18.4767","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W13_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0009","P0014","","2215092","0175461","28683","6","54.4283","18.3444","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W14_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0010","P0014","","2215092","0175461","28683","6","54.4283","18.3444","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W14_2","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0011","P0015","","2205085","0991380","06029","25","54.3132","18.3592","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W15_1","Nie","Tak","Nie","Nie","Nie","03","5"
"AD0012","P0015","","2205085","0991380","06029","25","54.3132","18.3592","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W15_2","Nie","Tak","Nie","Nie","Nie","05","2"
"AD0013","P0016","","2261011","0933016","08323","28","54.4144","18.4684","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W16_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0014","P0017","","2205085","0177402","20254","28","54.3160","18.3802","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W17_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0015","P0018","","2205085","0177402","15300","2","54.3084","18.3926","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W18_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0016","P0020","","2205084","0935127","","32","54.3451","18.3570","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W20_1","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0017","P0020","","2205084","0935127","","32","54.3451","18.3570","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W20_2","Nie","Tak","Nie","Nie","Nie","02","1"
"AD0018","P0021","","2215092","0175343","10898","2","54.4466","18.3013","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W21_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0019","P0023","","2205052","0172416","08124","1","54.2396","18.2028","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W23_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0020","P0023","","2205052","0172416","08124","1","54.2396","18.2028","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W23_2","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0021","P0026","","2205062","0173806","19335","5","54.2474","17.8965","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W26_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0022","P0027","","2206042","0164612","20641","8","54.1217","18.0328","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W27_1","Nie","Tak","Nie","Nie","Nie","05","1"
"AD0023","P0031","","2205052","0172675","17011","5","54.2703","18.2084","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W31_1","Nie","Tak","Nie","Nie","Nie","03","3"
"AD0024","P0032","","2205052","0172675","17011","7C","54.2737","18.2125","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W32_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0025","P0035","","2205025","0163104","25331","39","54.3195","18.2587","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W35_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0026","P0037","","2204052","0170140","22003","20","54.2040","18.2776","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W37_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0027","P0038","","2204052","0170067","24870","9","54.2178","18.2551","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W38_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0028","P0044","","2261011","0933016","12618","1","54.4121","18.4458","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W44_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0029","P0049","","2205085","0177230","","3A","54.3626","18.4329","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W49_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0030","P0049","","2205085","0177230","","3A","54.3626","18.4329","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W49_2","Nie","Tak","Nie","Nie","Nie","07","1"
"AD0031","P0050","","2205085","0177247","13706","26","54.3544","18.4245","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W50_1","Nie","Tak","Nie","Nie","Nie","03","1"
"AD0032","P0051","","2205085","0177276","20254","21","54.3610","18.3680","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W51_1","Nie","Tak","Nie","Nie","Nie","03","2"
"AD0033","P0051","","2205085","0177276","20254","21","54.3610","18.3680","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W51_2","Nie","Tak","Nie","Nie","Nie","06","1"
"AD0034","P0053","","2205085","0177276","15590","3A","54.3698","18.3553","radiowe","WiFi - 802.11ac w paśmie 5GHz","","","","SPE_1_W53_1","Nie","Tak","Nie","Nie","Nie","03","3"
